generic_name,drug_category
DANTROLENE SODIUM,Other/Supportive Care
DAPAGLIFLOZIN PROPANEDIOL,Other/Supportive Care
DAPAGLIFLOZIN/METFORMIN HCL,Endocrine/Metabolic
DAPSONE,Other/Supportive Care
DAPTOMYCIN,Other/Supportive Care
DARATUMUMAB,Other/Supportive Care
DARBEPOETIN ALFA IN POLYSORBAT,Other/Supportive Care
DARIFENACIN HYDROBROMIDE,Other/Supportive Care
DARUNAVIR ETHANOLATE,Other/Supportive Care
DARUNAVIR/COBICISTAT,Other/Supportive Care
DASATINIB,Oncology
DECITABINE,Other/Supportive Care
DEFERASIROX,Other/Supportive Care
DEFERIPRONE,Other/Supportive Care
DEFEROXAMINE MESYLATE,Other/Supportive Care
DEFLAZACORT,Other/Supportive Care
DEGARELIX ACETATE,Other/Supportive Care
DELAVIRDINE MESYLATE,Other/Supportive Care
DEMECLOCYCLINE HCL,Other/Supportive Care
DENOSUMAB,Other/Supportive Care
DESIPRAMINE HCL,Other/Supportive Care
DESLORATADINE,Other/Supportive Care
DESLORATADINE/PSEUDOEPHEDRINE,Other/Supportive Care
DESMOPRESSIN (NONREFRIGERATED),Other/Supportive Care
DESMOPRESSIN ACETATE,Other/Supportive Care
DESOG-E.ESTRADIOL/E.ESTRADIOL,Other/Supportive Care
DESOGESTREL-ETHINYL ESTRADIOL,Other/Supportive Care
DESONIDE,Other/Supportive Care
DESOXIMETASONE,Other/Supportive Care
DESVENLAFAXINE,Neurological/Neuropsychiatric
DESVENLAFAXINE SUCCINATE,Neurological/Neuropsychiatric
DEUTETRABENAZINE,Other/Supportive Care
DEXAMETHASONE,Other/Supportive Care
DEXAMETHASONE SOD PHOSPHATE,Other/Supportive Care
DEXAMETHASONE SODIUM PHOSP/PF,Other/Supportive Care
DEXLANSOPRAZOLE,Gastrointestinal
DEXMETHYLPHENIDATE HCL,Other/Supportive Care
DEXTROAMPHETAMINE SULFATE,Other/Supportive Care
DEXTROAMPHETAMINE/AMPHETAMINE,Other/Supportive Care
DEXTROMETHORPHAN HBR/QUINIDINE,Other/Supportive Care
DEXTROSE 10 % IN WATER,Other/Supportive Care
DEXTROSE 20 % IN WATER,Other/Supportive Care
DEXTROSE 5 % AND 0.9 % NACL,Other/Supportive Care
DEXTROSE 5 % IN WATER,Other/Supportive Care
DEXTROSE 5 %-0.2 % SOD CHLORID,Other/Supportive Care
DEXTROSE 5 %-0.45 % SOD CHLORD,Other/Supportive Care
DEXTROSE 5%-LACTATED RINGERS,Other/Supportive Care
DEXTROSE 50 % IN WATER,Other/Supportive Care
DEXTROSE 70 % IN WATER,Other/Supportive Care
DIAZEPAM,Neurological/Neuropsychiatric
DIAZOXIDE,Other/Supportive Care
DICHLORPHENAMIDE,Other/Supportive Care
DICLOFENAC EPOLAMINE,Pain/Analgesics/Antiinflammatory
DICLOFENAC POTASSIUM,Pain/Analgesics/Antiinflammatory
DICLOFENAC SODIUM,Pain/Analgesics/Antiinflammatory
DICLOFENAC SODIUM/MISOPROSTOL,Pain/Analgesics/Antiinflammatory
DICLOFENAC SUBMICRONIZED,Pain/Analgesics/Antiinflammatory
DICLOXACILLIN SODIUM,Other/Supportive Care
DICYCLOMINE HCL,Gastrointestinal
DIDANOSINE,Other/Supportive Care
DIFLORASONE DIACETATE,Other/Supportive Care
DIFLORASONE DIACETATE/EMOLL,Other/Supportive Care
DIFLUNISAL,Other/Supportive Care
DIFLUPREDNATE,Other/Supportive Care
DIGOXIN,Cardiovascular
DIHYDROERGOTAMINE MESYLATE,Other/Supportive Care
DILTIAZEM HCL,Cardiovascular
DIMENHYDRINATE,Other/Supportive Care
DIMETHYL FUMARATE,Other/Supportive Care
DIMETHYL SULFOXIDE,Other/Supportive Care
"DIPH,PERTUS(ACEL),TET,POLIO/PF",Other/Supportive Care
"DIPH,PERTUSS(ACELL),TET PED/PF",Other/Supportive Care
"DIPH,PERTUSS(ACELL),TET VAC/PF",Other/Supportive Care
DIPHENHYDRAMINE HCL,Other/Supportive Care
DIPHENOXYLATE HCL/ATROPINE,Other/Supportive Care
"DIPHT,PERT(A),TET-POLIO/HIB/PF",Other/Supportive Care
"DIPHTH,PERTUSS(ACELL),TET VAC",Other/Supportive Care
DIPYRIDAMOLE,Other/Supportive Care
DISOPYRAMIDE PHOSPHATE,Other/Supportive Care
DISULFIRAM,Other/Supportive Care
DIVALPROEX SODIUM,Other/Supportive Care
DOBUTAMINE HCL,Other/Supportive Care
